,name,Mesh volume ,Box volume ,Rho ,Strain ,Displacement (x & y) ,Displacement (z) ,C11 ,C22 ,C33 ,C12 ,C13 ,C23 ,C44 ,C55 ,C66 ,E1 ,E2 ,E3 ,nu12 ,nu13 ,nu23 ,mu23 ,mu13 ,mu12 
1,lowrho-lowAR10,345322.769,8000000,0.043165346,0.01,2,2,0.110355524,0.093311659,0.095042809,0.052789842,0.052062701,0.04862956,0.823232336,0.047340883,0.048880355,0.071842376,0.060072989,0.062210819,0.382164397,0.352243531,0.348590997,0.823232336,0.047340883,0.048880355
2,lowrho-lowAR11,357365.4685,8000000,0.044670684,0.01,2,2,0.106171439,0.09918642,0.107362347,0.049312285,0.05328894,0.046148316,0.086283846,0.224907766,0.39394491,0.070933832,0.070603292,0.074613676,0.332787257,0.353302343,0.280505728,0.086283846,0.224907766,0.39394491
3,lowrho-lowAR12,360372.698,8000000,0.045046587,0.01,2,2,0.071933547,0.089295052,0.078280785,0.045872052,0.031803859,0.034503556,0.036948573,0.400647691,0.41304844,0.045316575,0.056892729,0.060850586,0.429953396,0.216770159,0.236869551,0.036948573,0.400647691,0.41304844
4,lowrho-lowAR10,345322.769,8000000,0.043165346,0.01,2,2,0.113617668,0.093802467,0.095558727,0.052272525,0.050427812,0.047723999,0.823232336,0.047340883,0.048880355,0.076519203,0.061534795,0.064555124,0.387145411,0.334367004,0.351574736,0.823232336,0.047340883,0.048880355
5,lowrho-lowAR11,357365.4685,8000000,0.044670684,0.01,2,2,0.106171439,0.09918642,0.107362347,0.049312285,0.05328894,0.046148316,0.086283846,0.224907766,0.39394491,0.070933832,0.070603292,0.074613676,0.332787257,0.353302343,0.280505728,0.086283846,0.224907766,0.39394491
6,lowrho-lowAR12,360372.698,8000000,0.045046587,0.01,2,2,0.071933547,0.089295052,0.078280785,0.045872052,0.031803859,0.034503556,0.036948573,0.400647691,0.41304844,0.045316575,0.056892729,0.060850586,0.429953396,0.216770159,0.236869551,0.036948573,0.400647691,0.41304844
7,lowrho-lowAR14,350324.2785,8000000,0.043790535,0.01,2,2,0.046281312,0.397027103,0.083096886,0.096014499,0.015443072,0.19103244,0.377428522,0.739280783,3.599905628,0.130306357,-0.126489383,-0.049834343,-1.435991433,3.487062293,0.803664442,0.377428522,0.739280783,3.599905628
8,lowrho-lowAR15,350510.0799,8000000,0.04381376,0.01,2,2,0.108912174,0.120459309,0.093405041,0.049118535,0.044221163,0.051385997,0.049033847,0.184930848,0.089093874,0.081309931,0.085204045,0.065393498,0.268908839,0.325496507,0.319840135,0.049033847,0.184930848,0.089093874
9,lowrho-lowAR16,328475.8714,8000000,0.041059484,0.01,2,2,0.097696246,0.144916044,0.076612085,0.042721329,0.046536225,0.052739046,0.291031651,0.062647502,0.463355552,0.068377483,0.106966194,0.046134732,0.098389915,0.539695995,0.256580667,0.291031651,0.062647502,0.463355552
10,lowrho-lowAR17,375994.168,8000000,0.046999271,0.01,2,2,0.07453206,0.107325749,0.073932021,0.036484362,0.052180838,0.038289099,0.029288386,0.048251304,0.043937733,0.036680263,0.085122332,0.035583688,0.108120558,0.649799616,0.142466492,0.029288386,0.048251304,0.043937733
